resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year
22243,905,4,6,14,5,4,4,4,12.0,78,32.452,6600113,54,5,79.727,150.814,1,Fernando,Alonso,Fernando Alonso,5.0,Monaco Grand Prix,2014
22244,905,807,10,27,11,5,5,5,10.0,77,\N,\N,38,9,80.767,148.872,11,Nico,Hülkenberg,Nico Hülkenberg,11.0,Monaco Grand Prix,2014
22245,905,18,1,22,12,6,6,6,8.0,77,\N,\N,42,12,81.047,148.358,11,Jenson,Button,Jenson Button,12.0,Monaco Grand Prix,2014
22246,905,13,3,19,16,7,7,7,6.0,77,\N,\N,48,6,80.314,149.712,11,Felipe,Massa,Felipe Massa,16.0,Monaco Grand Prix,2014
22247,905,154,208,8,14,8,8,8,4.0,77,\N,\N,53,11,80.979,148.482,11,Romain,Grosjean,Romain Grosjean,14.0,Monaco Grand Prix,2014
22248,905,824,206,17,21,9,9,9,2.0,77,\N,\N,42,16,81.254,147.98,11,Jules,Bianchi,Jules Bianchi,19.0,Monaco Grand Prix,2014
22249,905,825,1,20,8,10,10,10,1.0,77,\N,\N,75,8,80.657,149.075,11,Kevin,Magnussen,Kevin Magnussen,8.0,Monaco Grand Prix,2014
22250,905,828,207,9,22,11,11,11,0.0,77,\N,\N,53,10,80.911,148.607,11,Marcus,Ericsson,Marcus Ericsson,22.0,Monaco Grand Prix,2014
22251,905,8,6,7,6,12,12,12,0.0,77,\N,\N,75,1,78.479,153.212,11,Kimi,Räikkönen,Kimi Räikkönen,6.0,Monaco Grand Prix,2014
22252,905,155,207,10,20,13,13,13,0.0,75,\N,\N,16,19,82.425,145.878,12,Kamui,Kobayashi,Kamui Kobayashi,21.0,Monaco Grand Prix,2014
22253,905,820,206,4,19,14,14,14,0.0,75,\N,\N,69,7,80.579,149.22,13,Max,Chilton,Max Chilton,20.0,Monaco Grand Prix,2014
22254,905,821,15,21,17,\N,R,15,0.0,59,\N,\N,41,15,81.146,148.177,3,Esteban,Gutiérrez,Esteban Gutiérrez,17.0,Monaco Grand Prix,2014
22255,905,822,3,77,13,\N,R,16,0.0,55,\N,\N,50,14,81.105,148.252,5,Valtteri,Bottas,Valtteri Bottas,13.0,Monaco Grand Prix,2014
22256,905,818,5,25,7,\N,R,17,0.0,50,\N,\N,35,13,81.083,148.292,5,Jean-Éric,Vergne,Jean-Éric Vergne,7.0,Monaco Grand Prix,2014
22257,905,16,15,99,18,\N,R,18,0.0,23,\N,\N,23,17,81.761,147.062,3,Adrian,Sutil,Adrian Sutil,18.0,Monaco Grand Prix,2014
22258,905,826,5,26,9,\N,R,19,0.0,10,\N,\N,8,18,82.011,146.614,26,Daniil,Kvyat,Daniil Kvyat,9.0,Monaco Grand Prix,2014
22259,905,20,9,1,4,\N,R,20,0.0,5,\N,\N,3,20,119.505,100.615,101,Sebastian,Vettel,Sebastian Vettel,4.0,Monaco Grand Prix,2014
22260,905,815,10,11,10,\N,R,21,0.0,0,\N,\N,\N,0,\N,\N,4,Sergio,Pérez,Sergio Pérez,10.0,Monaco Grand Prix,2014
22261,905,813,208,13,15,\N,W,22,0.0,0,\N,\N,\N,0,\N,\N,54,Pastor,Maldonado,Pastor Maldonado,15.0,Monaco Grand Prix,2014
22262,906,817,9,3,6,1,1,1,25.0,70,39:12.8,5952830,68,4,78.64,199.638,1,Daniel,Ricciardo,Daniel Ricciardo,6.0,Canadian Grand Prix,2014
22263,906,3,131,6,1,2,2,2,18.0,70,4.236,5957066,33,7,78.881,199.028,1,Nico,Rosberg,Nico Rosberg,1.0,Canadian Grand Prix,2014
22264,906,20,9,1,3,3,3,3,15.0,70,5.247,5958077,48,10,79.171,198.299,1,Sebastian,Vettel,Sebastian Vettel,3.0,Canadian Grand Prix,2014
22265,906,18,1,22,9,4,4,4,12.0,70,11.755,5964585,64,5,78.759,199.337,1,Jenson,Button,Jenson Button,9.0,Canadian Grand Prix,2014
22266,906,807,10,27,11,5,5,5,10.0,70,12.843,5965673,64,8,78.936,198.89,1,Nico,Hülkenberg,Nico Hülkenberg,11.0,Canadian Grand Prix,2014
22267,906,4,6,14,7,6,6,6,8.0,70,14.869,5967699,64,3,78.614,199.704,1,Fernando,Alonso,Fernando Alonso,7.0,Canadian Grand Prix,2014
22268,906,822,3,77,4,7,7,7,6.0,70,23.578,5976408,52,11,79.321,197.924,1,Valtteri,Bottas,Valtteri Bottas,4.0,Canadian Grand Prix,2014
22269,906,818,5,25,8,8,8,8,4.0,70,28.026,5980856,56,12,79.399,197.73,1,Jean-Éric,Vergne,Jean-Éric Vergne,8.0,Canadian Grand Prix,2014
22270,906,825,1,20,12,9,9,9,2.0,70,29.254,5982084,56,6,78.819,199.185,1,Kevin,Magnussen,Kevin Magnussen,12.0,Canadian Grand Prix,2014
22271,906,8,6,7,10,10,10,10,1.0,70,53.678,6006508,68,2,78.529,199.921,1,Kimi,Räikkönen,Kimi Räikkönen,10.0,Canadian Grand Prix,2014
22272,906,815,10,11,13,11,11,11,0.0,69,\N,\N,63,13,79.491,197.501,4,Sergio,Pérez,Sergio Pérez,13.0,Canadian Grand Prix,2014
22273,906,13,3,19,5,12,12,12,0.0,69,\N,\N,58,1,78.504,199.984,4,Felipe,Massa,Felipe Massa,5.0,Canadian Grand Prix,2014
22274,906,16,15,99,16,13,13,13,0.0,69,\N,\N,66,17,80.226,195.692,11,Adrian,Sutil,Adrian Sutil,16.0,Canadian Grand Prix,2014
22275,906,821,15,21,22,14,14,14,0.0,64,\N,\N,51,16,80.112,195.97,132,Esteban,Gutiérrez,Esteban Gutiérrez,22.0,Canadian Grand Prix,2014
22276,906,154,208,8,14,\N,R,15,0.0,59,\N,\N,54,14,79.65,197.107,65,Romain,Grosjean,Romain Grosjean,14.0,Canadian Grand Prix,2014
22277,906,826,5,26,15,\N,R,16,0.0,47,\N,\N,43,15,79.978,196.298,79,Daniil,Kvyat,Daniil Kvyat,15.0,Canadian Grand Prix,2014
22278,906,1,131,44,2,\N,R,17,0.0,46,\N,\N,24,9,78.942,198.875,23,Lewis,Hamilton,Lewis Hamilton,2.0,Canadian Grand Prix,2014
22279,906,155,207,10,21,\N,R,18,0.0,23,\N,\N,20,19,83.13,188.856,22,Kamui,Kobayashi,Kamui Kobayashi,20.0,Canadian Grand Prix,2014
22280,906,813,208,13,17,\N,R,19,0.0,21,\N,\N,21,18,81.514,192.6,131,Pastor,Maldonado,Pastor Maldonado,17.0,Canadian Grand Prix,2014
22281,906,828,207,9,20,\N,R,20,0.0,7,\N,\N,7,20,111.041,141.385,101,Marcus,Ericsson,Marcus Ericsson,21.0,Canadian Grand Prix,2014
22282,906,820,206,4,18,\N,R,21,0.0,0,\N,\N,\N,0,\N,\N,4,Max,Chilton,Max Chilton,18.0,Canadian Grand Prix,2014
22283,906,824,206,17,19,\N,R,22,0.0,0,\N,\N,\N,0,\N,\N,4,Jules,Bianchi,Jules Bianchi,19.0,Canadian Grand Prix,2014
22284,907,3,131,6,3,1,1,1,25.0,71,27:55.0,5274976,50,6,72.598,214.518,1,Nico,Rosberg,Nico Rosberg,3.0,Austrian Grand Prix,2014
22285,907,1,131,44,9,2,2,2,18.0,71,1.932,5276908,41,2,72.217,215.65,1,Lewis,Hamilton,Lewis Hamilton,9.0,Austrian Grand Prix,2014
22286,907,822,3,77,2,3,3,3,15.0,71,8.172,5283148,63,3,72.581,214.568,1,Valtteri,Bottas,Valtteri Bottas,2.0,Austrian Grand Prix,2014
